Gym_Name,Latitude,Longitude,Team,Count
Arte de Rua Paisagem Submarina,-31.768549,-52.338229,2,1
Bibliotheca Pública Pelotense,-31.77,-52.342085,2,4
Caixa D'agua da Praça,-31.766191,-52.345637,1,1
Caixa D'água da Gotuzzo,-31.746812,-52.394044,1,1
Caixa d'Água Brilhante,-31.752716,-52.335555,1,2
Castelo Simões Lopes,-31.77473,-52.353131,2,1
Catedral Sao Francisco De Paula,-31.763889,-52.338142,2,1
Centro Comunitário,-31.741878,-52.388808,1,4
Centro de Treinamento Público,-31.764612,-52.227663,1,5
Clube Esportivo Sousa,-31.716684,-52.353969,2,1
Colégio São José,-31.775375,-52.342116,3,5
Dr Nunes Vieira,-31.765834,-52.34602,1,1
Formiga Da Churrascaria Lobão,-31.761557,-52.336951,1,4
Graffiti,-31.773938,-52.341724,2,1
Grafite Engenho Sao Paulo,-31.734095,-52.344594,2,5
Gruta Da Baronesa,-31.755471,-52.319397,1,1
Gruta À Nossa Mãe Iemanja,-31.780457,-52.317964,1,5
Igreja De Jesus Cristo,-31.75818,-52.367574,2,1
Igreja Do Senhor,-31.720644,-52.35311,2,1
Igreja Dos Santos Dos Últimos Dias,-31.754634,-52.31826,1,2
Igreja Luterana Comunidade Emanuel,-31.751961,-52.383378,1,3
Igreja Mistérios Da Fé,-31.747722,-52.388811,1,2
Igreja O Brasil Para Cristo,-31.722343,-52.351434,1,3
Igreja Santo Antônio,-31.725761,-52.34285,2,3
Igreja Sao Francisco De Assis,-31.719521,-52.34773,2,3
Igreja do Porto,-31.776712,-52.338761,2,1
Mercado Público,-31.770725,-52.342845,2,1
Monumento Cacimba Da Nação,-31.747716,-52.292322,1,5
Monumento a Joao Da Silva Silveira,-31.765994,-52.345289,1,1
Portal da Academia de Letras,-31.759439,-52.338414,1,4
Pracinha Alfredo Pujol,-31.744982,-52.294506,2,1
Praça Stonehenge I,-31.74119,-52.386915,1,4
Sociedade Recreativa 15 De Julho,-31.696073,-52.339729,2,2
Torre Do Relógio Ifsul Pelotas,-31.766284,-52.351779,1,1
Velas ao Vento,-31.755462,-52.22766,3,4
