pokestop_id,enabled,latitude,longitude,last_modified,lure_expiration,active_fort_modifier,last_updated
00ff0b35577841e6ada99664c28dd8af.16,1,-31.692932,-52.339667,"2018-01-30 20:39:17",NULL,NULL,"2018-02-18 13:50:56"
091cc298d82f418c868b2c2864d51336.16,1,-31.764076,-52.347841,"2018-01-03 16:21:20",NULL,NULL,"2018-01-27 02:31:40"
09b34dafcbcb4f239a430a516b4e4d2b.16,1,-31.770128,-52.34157,"2018-02-17 18:36:55",NULL,NULL,"2018-02-18 14:02:36"
0d8bac1c86d64430b33531f159ec9149.16,1,-31.753269,-52.333855,"2018-01-03 15:58:38",NULL,NULL,"2018-01-27 03:04:03"
0dd0ef2746864a39857318f7f65de83d.16,1,-31.755329,-52.277069,"2017-08-29 17:46:50",NULL,NULL,"2018-02-18 13:57:23"
0e01455d17f242669a4f71344e354043.16,1,-31.75308,-52.241931,"2018-01-22 18:40:17",NULL,NULL,"2018-02-18 14:01:01"
0f2b703f60d9447e91b70b189d24070c.16,1,-31.761811,-52.229797,"2018-01-03 21:46:19",NULL,NULL,"2018-02-18 14:02:37"
11b1528cd4124b368c69ca04c4c89c9d.16,1,-31.779635,-52.317081,"2018-01-23 21:35:17",NULL,NULL,"2018-02-18 13:57:49"
1701bd04fddc41aeb864e5ca54251f77.16,1,-31.743728,-52.317924,"2018-01-03 15:50:36",NULL,NULL,"2018-02-18 13:59:08"
17e2fc239a3a47a5854b620645796029.16,1,-31.767274,-52.227415,"2018-02-13 12:11:34",NULL,NULL,"2018-02-18 14:02:37"
1a0f9ccce9c44efaaef58faaeb215c38.16,1,-31.756154,-52.228026,"2018-02-06 00:12:32","2018-02-06 00:42:32",501,"2018-02-06 00:12:50"
1c03cdbbd6a642bd82ff55a03cd56ecd.16,1,-31.774623,-52.341915,"2018-01-03 12:09:58",NULL,NULL,"2018-01-27 02:27:52"
2293d3926b8d4accb246ec8dff6036c5.16,1,-31.715304,-52.354852,"2017-11-04 22:09:44",NULL,NULL,"2018-02-18 14:02:24"
24d6a0fc5e8c4bf99d65e670092b0dd4.16,1,-31.755913,-52.320081,"2018-01-14 17:30:17",NULL,NULL,"2018-02-18 14:02:35"
2d7e23de71b949c8a3cb311827d6b6f6.16,1,-31.760344,-52.337756,"2018-01-25 03:02:50",NULL,NULL,"2018-01-27 03:01:43"
2e7918e439ba44c7ad9636c39877d67f.16,1,-31.757056,-52.381898,"2018-01-04 01:44:02",NULL,NULL,"2018-02-18 14:01:55"
2fd6a784ff47443dba62d9c09eb3683d.16,1,-31.733745,-52.210547,"2018-02-15 18:39:27",NULL,NULL,"2018-02-18 13:53:39"
34c2ac73a65f4c3595543bfba72e59e9.16,1,-31.771077,-52.350266,"2018-01-19 19:23:40",NULL,NULL,"2018-02-18 14:02:31"
3532f62283a64e92a71a15445a5e596d.16,1,-31.775068,-52.342345,"2018-02-15 17:01:21",NULL,NULL,"2018-02-18 14:02:35"
37eb8bace2014679924878fd96b06dbb.16,1,-31.744614,-52.390258,"2018-01-07 20:49:46",NULL,NULL,"2018-02-18 14:01:35"
3aed26ffccf34bb09a565de08351eb2a.16,1,-31.769713,-52.340447,"2018-02-17 18:25:19",NULL,NULL,"2018-02-18 14:02:36"
3d1b1dfa15194ea09f915e54a5b129cb.16,1,-31.776003,-52.339209,"2018-02-08 12:07:35","2018-02-08 12:37:35",501,"2018-02-08 12:07:56"
3e5c5d3522c84f07af8333b4b77c6a3f.16,1,-31.764014,-52.337736,"2018-02-10 10:46:44",NULL,NULL,"2018-02-18 14:02:36"
41d946b71fe44da1a8b9cd5358ac6ab9.16,1,-31.747178,-52.296973,"2018-02-02 18:41:46",NULL,NULL,"2018-02-02 18:42:09"
4354834610b6424ca8816a43baa63fdf.16,1,-31.75655,-52.320125,"2018-02-09 20:18:39","2018-02-09 20:48:39",501,"2018-02-09 20:38:50"
438684e9170a49f7b50150e5a0aca580.16,1,-31.722111,-52.343047,"2017-08-21 17:49:40",NULL,NULL,"2018-02-18 14:01:51"
45017127f09645e48141d98a1f4c0edd.16,1,-31.756425,-52.318275,"2018-01-03 15:57:32",NULL,NULL,"2018-02-18 14:02:35"
453fed9dd1df43dc8938ce374e037240.16,1,-31.769064,-52.341029,"2018-02-17 18:31:43","2018-02-17 19:01:43",501,"2018-02-17 18:32:14"
4af4f59272154a79ae47798be93d0db3.16,1,-31.736394,-52.21047,"2017-12-21 00:41:25",NULL,NULL,"2018-01-27 08:43:26"
4af60c4162e244d78a5793c879b1e91a.16,1,-31.761267,-52.33767,"2018-02-12 20:32:49",NULL,NULL,"2018-02-18 14:02:36"
4dc96646df5d42ecaa3a0187c44735ef.16,1,-31.742089,-52.391214,"2018-01-03 16:07:10",NULL,NULL,"2018-02-18 13:57:15"
4e3d34b77fc742829cee17f6bb695177.16,1,-31.765135,-52.344193,"2018-01-05 16:02:04",NULL,NULL,"2018-02-18 14:02:36"
4efd9a59b0094e92a72293e98e6f8236.16,1,-31.734586,-52.344359,"2018-02-10 23:13:17",NULL,NULL,"2018-02-18 14:02:37"
4fe39f4c688b4df7b8aea7a0b5611349.16,1,-31.7714,-52.341878,"2018-02-15 22:39:31","2018-02-15 23:09:31",501,"2018-02-15 22:40:25"
4fefc02fc1294649b617a4c9bb46a625.16,1,-31.758854,-52.346273,"2018-01-03 15:47:59",NULL,NULL,"2018-02-18 14:02:21"
5018657557b84c11967dc0f136151619.16,1,-31.758373,-52.348513,"2018-01-03 15:38:38",NULL,NULL,"2018-02-18 14:02:21"
53c3acc9a29c40febae9af598740ca4e.16,1,-31.770855,-52.341134,"2018-02-17 20:24:22",NULL,NULL,"2018-02-18 14:02:36"
5b57e330c2e947eb93448c1aacadb146.16,1,-31.773951,-52.345111,"2018-01-03 12:10:01",NULL,NULL,"2018-01-27 02:54:36"
64107ee4bd794d31acce3bf4f70679bd.16,1,-31.759161,-52.364768,"2018-01-03 15:41:05",NULL,NULL,"2018-01-27 02:55:24"
665a22da5e15467187e2bc792cacf678.11,1,-31.754693,-52.334044,"2018-01-18 12:57:46",NULL,NULL,"2018-01-27 03:03:04"
67956831877a4486b0105498a63d14d9.16,1,-31.750142,-52.386947,"2018-01-03 15:50:07",NULL,NULL,"2018-01-27 03:20:53"
6b0223f74eff4efcbad50787773f01ac.16,1,-31.760056,-52.336385,"2018-02-12 21:39:21","2018-02-12 22:09:21",501,"2018-02-12 21:39:34"
